galaxy_name,dataset,A_inferred,A_pred,A_class,f_star,f_gas,log10_Sigma_b,RHI_Rd,alpha_BTFR,BTFR_offset_dex,v_obs,v_newton,v_bdvr_full,analog_score,analog_tier,data_completeness,missing_fields,notes,passes_direct_analog_rule,T,Vflat,e_Vflat,Rdisk,RHI,Inc,D,Ref,M_baryon_Msun,M_star_Msun,M_gas_Msun,Rdisk_kpc,A_implied,A_gov,maturity_class,log10_velocity_error_full_bdvr,log_j_obs_target,base_pred_oof,log_j_pred_oof,residual_before,residual_after,velocity_fractional_error,bdvr_overprediction_dex,angular_residual_abs,gas_rich_flag,low_stellar_flag,diffuse_flag,hi_extended_flag,severe_underrotation_flag,measurement_contamination_flag,failed_stalled_indicator_bundle,taxonomy_stage,boundary_stage,true_falsifier_followup_required,classification_reason,claim_boundary,followup_priority_rank,recommended_followup,Vflat_m36,v_newton_km_s,v_no_governor_km_s,log10_error_no_governor,A_inferred_m36,RHI_over_Rdisk,log10_Sigma_b_m36,quarantine_flag,clean_scalar_sample,A_inferred_m37,RHI_Rd_m37,m37_primary_test_set,m37_primary_fit_set,mature_control_set,class_gas_rich_low_surface_brightness_dwarf,class_hi_dominated_weak_stellar_disk,class_failed_stalled_or_low_efficiency_system,class_systems_with_unsettled_or_extended_hi,class_strong_approach_recede_mismatch,m37_candidate_classes,asymmetry_index,warp_index,approach_recede_mismatch_km_s,S_HI_disturbance,class_disturbed_or_unsettled_hi_system,A_pred_M37,governor_activation_residual
NGC5055,SPARC,0.4049988834479593,0.0300682677679273,low,0.830635017923709,0.1693649820762909,9.15554991251676,10.95625,0.836831822215002,-0.0386809066203296,179.0,195.67436701535524,276.725343641886,0.5492949414648799,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,4.0,179.0,4.9,3.2,35.06,55.0,9.9,"Ba06,Bl04",92051260000.0,76461000000.0,15590260000.0,3.2,0.0,0.9587758711914368,mature,0.0608957261049272,3.0590330049637804,3.147269891228817,3.140265588949984,0.0882368862650371,0.0812325839862033,0.0273743016759776,0.1891959044523204,0.0812325839862033,False,False,False,True,True,False,False,true_falsifier_candidate,True,True,clean scalar geometry with severe mismatch but without failed/stalled gas-rich indicators; requires resolved H I/geometry checks before any true-falsifier claim,candidate only; resolved H I and geometry checks required before true-falsifier claim,1,"highest: resolved H I, inclination/distance audit, outer-curve confirmation",179.0,142.05367644662047,222.4131443276712,0.0943074189278329,0.4049988834479593,10.95625,9.15554991251676,False,True,0.4049988834479593,10.95625,True,True,False,False,False,False,True,True,disturbed_or_unsettled_hi_system;strong_approach_recede_mismatch;systems_with_unsettled_or_extended_hi,0.4108888983335056,0.1968632146950233,191.47602887519025,0.725,True,0.6270976384269507,0.22209875497899134
NGC3198,SPARC,0.7652021531474711,0.0180276174541209,low,0.569708176180754,0.430291823819246,8.734238971292958,11.35668789808917,0.9740232197317132,-0.0057153449276559,150.1,152.08838113024217,215.0854512737568,0.5408392608277474,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,5.0,150.1,3.9,3.14,35.66,73.0,13.8,"Da06,Be91,Be87",33595270000.0,19139500000.0,14455770000.000002,3.14,0.0,0.5892351621089128,transition,0.0168683320086505,2.9743403359804663,2.9940752771779744,2.9887904599895063,0.019734941197508,0.01445012400904,0.0259826782145236,0.1562303427596465,0.01445012400904,False,False,False,True,True,False,False,true_falsifier_candidate,True,True,clean scalar geometry with severe mismatch but without failed/stalled gas-rich indicators; requires resolved H I/geometry checks before any true-falsifier claim,candidate only; resolved H I and geometry checks required before true-falsifier claim,1,"highest: resolved H I, inclination/distance audit, outer-curve confirmation",150.1,83.44822976635163,165.24669602700308,0.041752092637036,0.7652021531474711,11.35668789808917,8.734238971292958,False,True,0.7652021531474711,11.35668789808917,True,True,False,False,False,False,True,True,strong_approach_recede_mismatch;systems_with_unsettled_or_extended_hi,0.2632006782747683,0.0177401744482523,155.76663849422062,0.4,False,0.5700406162291003,-0.1951615369183708
NGC4559,SPARC,0.6428376682942409,0.0610394006103229,low,0.5562627137766096,0.4437372862233905,8.798358135563797,10.076190476190476,0.881990559282707,-0.0272680317387209,121.2,129.0537568121273,182.50957315890963,0.5229410821291451,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,6.0,121.2,5.1,2.1,21.16,67.0,9.0,Ba05,17417130000.0,9688500000.0,7728630000.000001,2.1,0.0,0.5580013170487282,transition,0.040073097443875,2.706751910228168,2.7579101269491346,2.753073903276744,0.0511582167209665,0.046321993048576,0.042079207920792,0.1777830295707115,0.046321993048576,False,False,False,True,True,False,False,true_falsifier_candidate,True,True,clean scalar geometry with severe mismatch but without failed/stalled gas-rich indicators; requires resolved H I/geometry checks before any true-falsifier claim,candidate only; resolved H I and geometry checks required before true-falsifier claim,1,"highest: resolved H I, inclination/distance audit, outer-curve confirmation",121.2,77.44514341039456,139.70886203436353,0.0617213353931001,0.6428376682942409,10.076190476190476,8.798358135563797,False,True,0.6428376682942409,10.076190476190476,True,True,False,False,False,False,True,False,systems_with_unsettled_or_extended_hi,,,,,False,0.7097150607919677,0.06687739249772673
UGC09133,SPARC,0.4767803589538333,0.2291146964009779,low,0.7608718569655787,0.2391281430344212,8.78468591858822,8.658536585365853,0.9452951342214784,-0.0122162887862699,226.8,233.27024151484508,329.89393924834127,0.4033650134591497,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,2.0,226.8,4.2,6.97,60.35,53.0,57.1,"No07,No05",185922240000.0,141463000000.0,44459240000.0,6.97,0.0,0.8960018242545874,mature,0.0246669924686676,3.49990582398286,3.5264055131185232,3.5196667983223024,0.0264996891356634,0.0197609743394426,0.0185185185185185,0.1627312866182604,0.0197609743394426,False,False,False,True,True,False,False,true_falsifier_candidate,True,True,clean scalar geometry with severe mismatch but without failed/stalled gas-rich indicators; requires resolved H I/geometry checks before any true-falsifier claim,candidate only; resolved H I and geometry checks required before true-falsifier claim,1,"highest: resolved H I, inclination/distance audit, outer-curve confirmation",226.8,155.34929793974118,285.3114381478149,0.099676132669659,0.4767803589538333,8.658536585365853,8.78468591858822,False,True,0.4767803589538333,8.658536585365853,True,True,False,False,False,False,True,False,systems_with_unsettled_or_extended_hi,,,,,False,0.8396457371851015,0.3628653782312682
NGC6946,SPARC,0.7301681133883909,0.2249808536298529,low,0.8143848024495663,0.1856151975504337,9.0358616469088,8.709016393442623,0.9926227029034655,-0.0016078980002648,158.9,159.48938934178565,225.55205746175625,0.4008167132468971,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,6.0,158.9,10.9,2.44,21.25,38.0,5.52,Bo08,40627600000.0,33086500000.0,7541100000.0,2.44,0.0,0.9473391476584626,mature,0.0206722651449263,2.8895437192100903,2.9508031731198714,2.9481404063969974,0.061259453909781,0.058596687186907,0.0685966016362492,0.1521228958322555,0.058596687186907,False,False,False,True,True,False,False,true_falsifier_candidate,True,True,clean scalar geometry with severe mismatch but without failed/stalled gas-rich indicators; requires resolved H I/geometry checks before any true-falsifier claim,candidate only; resolved H I and geometry checks required before true-falsifier claim,1,"highest: resolved H I, inclination/distance audit, outer-curve confirmation",158.9,117.18412978385768,171.77113572436693,0.0338262899432106,0.7301681133883909,8.709016393442623,9.0358616469088,False,True,0.7301681133883909,8.709016393442623,True,True,False,False,False,False,True,True,disturbed_or_unsettled_hi_system;strong_approach_recede_mismatch;systems_with_unsettled_or_extended_hi,0.4575214466194032,0.0976303426092762,105.85005676423042,0.7,True,0.8374261393026582,0.10725802591426725
NGC4088,SPARC,0.4597920095678989,0.2412670832203849,low,0.8305981179736397,0.1694018820263602,9.188702834895674,8.624031007751938,0.9192349459648738,-0.0182867368556962,171.7,179.08410137546545,253.26316497058147,0.3982986462809247,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,4.0,171.7,6.9,2.58,22.25,69.0,18.0,"VS01,SV98",64583580000.0,53643000000.0,10940580000.000002,2.58,0.0,0.9599244494019148,mature,0.0413629549972447,2.947419996788128,3.018940202329766,3.0163484537295617,0.0715202055416379,0.0689284569414336,0.0401863715783343,0.1688017346876869,0.0689284569414336,False,False,False,True,True,False,False,true_falsifier_candidate,True,True,clean scalar geometry with severe mismatch but without failed/stalled gas-rich indicators; requires resolved H I/geometry checks before any true-falsifier claim,candidate only; resolved H I and geometry checks required before true-falsifier claim,1,"highest: resolved H I, inclination/distance audit, outer-curve confirmation",171.7,139.98665451045397,202.7172968761069,0.0721205113385047,0.4597920095678989,8.624031007751938,9.188702834895674,False,True,0.4597920095678989,8.624031007751938,True,True,False,False,False,False,True,False,systems_with_unsettled_or_extended_hi,,,,,False,0.843315242935265,0.38352323336736616
NGC1090,SPARC,0.6611679418079871,0.2325609088207237,low,0.7551270976014745,0.2448729023985255,8.784824515769072,8.637393767705383,0.9805589826795166,-0.0042631387432271,164.4,166.02173646450927,234.7901913568409,0.3970909634911311,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,4.0,164.4,3.7,3.53,30.49,64.0,37.0,Ge04,47703890000.0,36022500000.0,11681390000.0,3.53,0.0,0.892271848750169,mature,0.0167174293331434,3.0647065142558354,3.116822365544826,3.111379364896635,0.0521158512889905,0.0466728506407996,0.0225060827250608,0.1547781365752177,0.0466728506407996,False,False,False,True,True,False,False,true_falsifier_candidate,True,True,clean scalar geometry with severe mismatch but without failed/stalled gas-rich indicators; requires resolved H I/geometry checks before any true-falsifier claim,candidate only; resolved H I and geometry checks required before true-falsifier claim,1,"highest: resolved H I, inclination/distance audit, outer-curve confirmation",164.4,105.52619040789912,187.54039426852225,0.057193011491666,0.6611679418079871,8.637393767705383,8.784824515769072,False,True,0.6611679418079871,8.637393767705383,True,True,False,False,False,False,True,False,systems_with_unsettled_or_extended_hi,,,,,False,0.8409509616295541,0.17978301982156697
NGC5371,SPARC,0.1229344705079685,0.9407320934363798,high,0.919653485596212,0.080346514403788,8.726000664142939,4.036290322580645,0.8084475446368847,-0.0461740768174391,209.5,233.00117123781155,329.51341641332897,0.2730870384087195,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,4.0,209.5,3.9,7.44,30.03,53.0,39.7,"Sa96,Be87",185065900000.0,170196500000.0,14869400000.0,7.44,0.0,0.9361297477426864,mature,0.0571167327618996,3.493786958512174,3.591674242145573,3.6016906235453936,0.097887283633399,0.1079036650332194,0.0186157517899761,0.1966890746494297,0.1079036650332194,False,False,False,False,True,False,False,true_falsifier_candidate,True,True,clean scalar geometry with severe mismatch but without failed/stalled gas-rich indicators; requires resolved H I/geometry checks before any true-falsifier claim,candidate only; resolved H I and geometry checks required before true-falsifier claim,1,"highest: resolved H I, inclination/distance audit, outer-curve confirmation",209.5,199.9218018030192,268.0821211003315,0.1070838237324706,0.1229344705079685,4.036290322580645,8.726000664142939,False,True,0.1229344705079685,4.036290322580645,True,True,False,False,False,False,False,False,mature_or_control,,,,,False,0.9803166955217456,0.8573822250137771
NGC0801,SPARC,0.6044754277243196,0.8649482881154322,high,0.8351130393642101,0.1648869606357899,8.59295919409849,5.159403669724771,0.8873624817109284,-0.0259494687486376,220.1,233.65200456150845,330.4338337265455,0.2629747343743188,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,5.0,220.1,6.2,8.72,44.99,80.0,80.7,"Sa96,Br92",187142330000.0,156285000000.0,30857330000.0,8.72,0.0,0.8868908718486853,mature,0.0335696823142131,3.5841665231498965,3.643890497173447,3.6456858691303817,0.0597239740235502,0.0615193459804852,0.028169014084507,0.1764644665806282,0.0615193459804852,False,False,True,True,True,False,False,true_falsifier_candidate,True,True,clean scalar geometry with severe mismatch but without failed/stalled gas-rich indicators; requires resolved H I/geometry checks before any true-falsifier claim,candidate only; resolved H I and geometry checks required before true-falsifier claim,1,"highest: resolved H I, inclination/distance audit, outer-curve confirmation",220.1,174.6935590386831,245.3030507327344,0.0470829068277363,0.6044754277243196,5.159403669724771,8.59295919409849,False,True,0.6044754277243196,5.159403669724771,True,True,False,False,False,False,False,False,mature_or_control,,,,,False,0.9652040079774158,0.3607285802530962
DDO161,SPARC,0.5612513207542514,0.0127506326762463,low,0.1300587637772103,0.8699412362227897,8.352711411437879,8.762295081967213,0.7588720887275076,-0.0599157101031501,66.3,70.36667605242577,103.65263235302744,0.8714574332674108,strong direct analog,1.0,,passes direct low-activation gas-rich UGC07125 analog rule,True,10.0,66.3,1.9,1.22,10.69,70.0,7.5,Co00,2106740000.0,274000000.0,1832740000.0,1.22,0.0,0.0006633249648438,juvenile,0.0650535673224326,2.2089033547435024,2.2399573941819453,2.237293608361037,0.0310540394384428,0.0283902536175344,0.028657616892911,0.1940668074691741,0.0283902536175344,True,True,True,True,True,False,True,failed_stalled,True,False,gas-rich low-stellar boundary object with severe under-rotation; candidate stalled or nonparticipating-gas system,boundary-object interpretation; resolved H I and stellar-population follow-up required,2,"high: H I surface-density map, depletion time, stellar age/metallicity, environment/tidal history",66.3,37.7305709729956,81.96995774448564,0.0921411828030931,0.5612513207542514,8.762295081967213,8.352711411437879,False,True,0.5612513207542514,8.762295081967213,True,True,False,True,True,True,True,False,failed_stalled_or_low_efficiency_system;gas_rich_low_surface_brightness_dwarf;hi_dominated_weak_stellar_disk;systems_with_unsettled_or_extended_hi,,,,,False,0.12891563348296337,-0.43233568727128807
